"obsDt","lng","locName","obsValid","comName","obsReviewed","sciName","locationPrivate","howMany","lat","locID","id"
"2016-02-15 06:49",-116.3122084,"Ash Meadows National Wildlife Refuge, Amargosa Valley,",TRUE,"Golden Eagle",FALSE,"Aquila chrysaetos",TRUE,1,36.4181034,"L2470979","Aquila chrysaetos 2016-02-15 06:49 L2470979"
"2016-02-14 09:21",-115.0544178,"Cornerstone Park",TRUE,"Golden Eagle",FALSE,"Aquila chrysaetos",FALSE,1,36.0369429,"L2753168","Aquila chrysaetos 2016-02-14 09:21 L2753168"
"2016-02-13 11:36",-114.25132,"Upper Lehman Cr. C.G.",TRUE,"Golden Eagle",FALSE,"Aquila chrysaetos",TRUE,1,39.013206,"L151648","Aquila chrysaetos 2016-02-13 11:36 L151648"
"2016-02-13 06:40",-115.0171566,"Highway 318, south of Lund.",TRUE,"Golden Eagle",FALSE,"Aquila chrysaetos",TRUE,1,38.4801338,"L4249462","Aquila chrysaetos 2016-02-13 06:40 L4249462"
"2016-02-12 12:03",-115.9438705,"Mountain Falls Back Pond & Agricultural Field",TRUE,"Golden Eagle",FALSE,"Aquila chrysaetos",TRUE,1,36.1456378,"L1943753","Aquila chrysaetos 2016-02-12 12:03 L1943753"
"2016-02-12 11:35",-119.7214723,"Prison Hill",TRUE,"Golden Eagle",FALSE,"Aquila chrysaetos",TRUE,1,39.1243674,"L4256511","Aquila chrysaetos 2016-02-12 11:35 L4256511"
"2016-02-10 13:12",-114.6877813,"Jackpot Rest Area",TRUE,"Golden Eagle",FALSE,"Aquila chrysaetos",TRUE,1,41.9433842,"L1035588","Aquila chrysaetos 2016-02-10 13:12 L1035588"
"2016-02-10 11:17",-116.1280954,"Carlin Nature Pond",TRUE,"Golden Eagle",FALSE,"Aquila chrysaetos",TRUE,1,40.7127035,"L814752","Aquila chrysaetos 2016-02-10 11:17 L814752"
"2016-02-07 09:28",-119.69508,"Pyramid Lake--Willows",TRUE,"Golden Eagle",FALSE,"Aquila chrysaetos",TRUE,1,40.07421,"L3974006","Aquila chrysaetos 2016-02-07 09:28 L3974006"
"2016-02-03 15:30",-119.709692,"K",TRUE,"Golden Eagle",FALSE,"Aquila chrysaetos",TRUE,1,40.1007255,"L4218452","Aquila chrysaetos 2016-02-03 15:30 L4218452"
"2016-01-30 08:45",-119.4534767,"Popcorn Beach and mudflats",TRUE,"Golden Eagle",FALSE,"Aquila chrysaetos",TRUE,1,39.847373,"L4204310","Aquila chrysaetos 2016-01-30 08:45 L4204310"
"2016-01-28 08:00",-115.1205987,"Pahranagat NWR--Headquarters",TRUE,"Golden Eagle",FALSE,"Aquila chrysaetos",FALSE,NA,37.2685716,"L517161","Aquila chrysaetos 2016-01-28 08:00 L517161"
